#System variables:
#Boundary type: 2	Alpha = 0.100000
#System Length: 20
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	1046.954202	1.123547	1.787667	0.001918
0.050	922.868785	0.990522	1.575792	0.001691
0.100	817.209549	0.874036	1.395380	0.001492
0.150	726.518927	0.776239	1.240526	0.001325
0.200	652.181403	0.693487	1.113595	0.001184
0.250	585.653922	0.622746	1.000000	0.001063
0.300	528.515382	0.560709	0.902436	0.000957
0.350	476.701768	0.504538	0.813965	0.000861
0.400	432.143933	0.455806	0.737883	0.000778
0.450	392.898282	0.413004	0.670871	0.000705
0.500	357.970484	0.375177	0.611232	0.000641
0.550	326.331919	0.340756	0.557209	0.000582
0.600	299.045523	0.311939	0.510618	0.000533
0.650	274.523680	0.284278	0.468747	0.000485
0.700	253.495158	0.261687	0.432841	0.000447
0.750	236.647863	0.243572	0.404075	0.000416
0.800	224.224442	0.229953	0.382862	0.000393
0.850	221.017464	0.227066	0.377386	0.000388
0.900	238.269683	0.248606	0.406844	0.000424
0.950	334.345199	0.362675	0.570892	0.000619
