#System variables:
#Boundary type: 2	Alpha = 1.000000
#System Length: 200
#Detection Radius: 1
#Ensembles: 1000000

#p	<fpt>	delta	<fpt>/<fpt>_0	delta

0.000	672.245699	0.689352	0.006646	0.000007
0.000	192762.666293	194.515408	1.905638	0.001923
0.050	590.587094	0.606805	0.005839	0.000006
0.050	167507.781065	169.317473	1.655970	0.001674
0.100	523.841208	0.535081	0.005179	0.000005
0.100	146399.205310	147.724065	1.447292	0.001460
0.150	467.071325	0.476268	0.004617	0.000005
0.150	129257.218526	130.468895	1.277828	0.001290
0.200	418.745818	0.426765	0.004140	0.000004
0.200	114192.670307	115.432524	1.128901	0.001141
0.250	376.001551	0.383001	0.003717	0.000004
0.250	101153.867557	102.115638	1.000000	0.001010
0.300	339.553696	0.345185	0.003357	0.000003
0.300	89774.991986	90.451698	0.887509	0.000894
0.350	308.335707	0.312564	0.003048	0.000003
0.350	79690.093062	80.239494	0.787811	0.000793
0.400	279.839745	0.283366	0.002766	0.000003
0.400	70751.654690	71.164679	0.699446	0.000704
0.450	253.880271	0.256651	0.002510	0.000003
0.450	62602.443383	63.114931	0.618883	0.000624
0.500	232.011202	0.233928	0.002294	0.000002
0.500	55586.071998	55.961789	0.549520	0.000553
0.550	212.393777	0.213512	0.002100	0.000002
0.550	49202.651187	49.470504	0.486414	0.000489
0.600	194.561740	0.195388	0.001923	0.000002
0.600	43365.112436	43.514435	0.428704	0.000430
0.650	179.396970	0.179788	0.001774	0.000002
0.650	38129.676540	38.363890	0.376947	0.000379
0.700	166.709232	0.166980	0.001648	0.000002
0.700	33415.305031	33.622605	0.330341	0.000332
0.750	155.690578	0.155896	0.001539	0.000002
0.750	29246.436314	29.355916	0.289128	0.000290
0.800	148.580142	0.149185	0.001469	0.000001
0.800	25438.620623	25.502585	0.251484	0.000252
0.850	146.966346	0.148631	0.001453	0.000001
0.850	22088.697070	22.114123	0.218367	0.000219
0.900	159.243917	0.164337	0.001574	0.000002
0.900	19224.874385	19.249673	0.190056	0.000190
0.950	225.306628	0.243091	0.002227	0.000002
0.950	16927.388955	16.937816	0.167343	0.000167
